"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","","","est8","","","","est9","","","","est10","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"D.log_real_earn","-.2874336",".1230536","-2.33584",".0194996","-.1998873",".0906195","-2.205786",".027399","-.2724653",".0875213","-3.113132",".0018511","-.1472291",".1257552","-1.17076",".2416954","-.4142935",".0682231","-6.072624","1.26e-09","-.2026991",".0866739","-2.33864",".0193541",".0415735",".1669942",".2489521",".8033979","-.1180169",".0679982","-1.735587",".0826368","-.1065728",".0798226","-1.33512",".1818372","-.3735147",".0816146","-4.576566","4.73e-06"
"msa1990",".010525",".0022486","4.680707","2.86e-06",".0089726",".0020568","4.362477",".0000129",".0101072",".0018184","5.558183","2.73e-08",".009477",".001799","5.268075","1.38e-07",".0108209",".0020026","5.403471","6.54e-08",".0065398",".0027912","2.342984",".0191302",".00731",".0025564","2.859477",".0042434",".0061254",".0019558","3.131899",".0017368",".0060717",".0019733","3.076863",".0020919",".0073247",".0018771","3.902099",".0000954"
"log_pop","-.0005684",".0008277","-.6867139",".492263","-.0014267",".0007362","-1.938038",".0526186","-.0010824",".00069","-1.568752",".1167058","-.0011926",".000643","-1.854897",".0636109","-.0009575",".0007211","-1.327889",".1842149",".0103793",".0009607","10.80399","0",".0010099",".0008277","1.220094",".2224291",".0057072",".000452","12.62521","0",".0056976",".0004524","12.59393","0",".005921",".0004767","12.41954","0"
"D.log_pop",".5168078",".1397062","3.699246",".0002162",".4339692",".0831583","5.218592","1.80e-07",".4742927",".0843073","5.625761","1.85e-08",".4039597",".0873038","4.627055","3.71e-06",".5539437",".0816436","6.784901","1.16e-11",".2861098",".1224539","2.33647",".0194668",".7545996",".1134056","6.653987","2.85e-11",".6010917",".1220863","4.923498","8.50e-07",".5943748",".1237679","4.802335","1.57e-06",".7510505",".1201101","6.253016","4.03e-10"
"manufact_earn_share_1969","-.0059411",".0076171","-.7799733",".4354066","-.0023903",".0078289","-.305322",".7601209","-.0048808",".0067465","-.723452",".4694023","-.0041974",".0063296","-.6631377",".5072424","-.0056547",".0070523","-.8018112",".4226622","-.0249186",".0099816","-2.49644",".0125447",".0329958",".0098159","3.36146",".0007753",".000653",".0061176",".1067359",".9149985",".0007791",".0061823",".1260228",".8997139","-.0021632",".0066378","-.325888",".7445091"
"stateyrv1","0",".",".",".",".0191197",".0095112","2.010239",".0444059","0",".",".",".","0",".",".",".","0",".",".",".","-.1372969",".0237469","-5.781684","7.40e-09",".0572739",".0216813","2.64163",".0082508",".0038243",".0191164",".2000548",".8414377",".0036207",".0192896",".1877011",".8511109",".0083711",".0185028",".4524203",".6509662"
"stateyrv2","0",".",".",".",".021645",".0091445","2.367008",".0179325","0",".",".",".","0",".",".",".","0",".",".",".","-.3146891",".0238587","-13.18972","0",".0710151",".0235147","3.020025",".0025275","-.1675726",".0190901","-8.777979","0","-.1673246",".0189921","-8.810218","0","-.1731084",".0187795","-9.217919","0"
"stateyrv3","0",".",".",".","-.0158656",".0090921","-1.74499",".0809867","0",".",".",".","0",".",".",".","0",".",".",".","-.166124",".0236169","-7.034105","2.01e-12","-.0003894",".0217827","-.0178749",".9857387","-.0162126",".0190509","-.8510183",".3947592","-.0159008",".0189415","-.839472",".4012045","-.023174",".0182877","-1.267193",".2050863"
"stateyrv4","0",".",".",".",".0276896",".0106728","2.594411",".0094753","0",".",".",".","0",".",".",".","0",".",".",".",".050677",".023719","2.136559",".0326339",".0209709",".022352",".9382094",".3481368",".1953311",".0190738","10.24081","0",".1954429",".0190503","10.25933","0",".1928368",".0184702","10.44044","0"
