"","est1","","","","est2","","","","est3","","","","est4","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"D.log_real_earn","-.1645278",".1073316","-1.532892",".1253025","-.1950418",".1075722","-1.813125",".0698125","-.7458304",".1403635","-5.313563","1.08e-07","-.3822129",".0978342","-3.906741",".0000935"
"msa1990",".0010952",".0023474",".4665531",".6408196",".0010099",".0023187",".4355496",".6631635",".0010879",".0026938",".4038511",".6863222","-.0012168",".0022601","-.5384025",".5902992"
"log_pop",".0148405",".0009788","15.16119","0",".0145913",".0009626","15.1578","0",".0069694",".0011556","6.031172","1.63e-09",".0094047",".0011051","8.510388","0"
"D.log_pop",".1602108",".1015208","1.578107",".1145409",".1902467",".1034497","1.839025",".0659115",".5822511",".1251035","4.654156","3.25e-06",".2723575",".0916526","2.971627",".0029623"
"manufact_earn_share_1969","-.0220392",".0060011","-3.672539",".0002402","-.0233812",".0069122","-3.38261",".000718","-.0176824",".0081888","-2.15934",".0308238","-.0121739",".0076839","-1.584333",".1131179"
"stateyrv1","-.1136113",".027917","-4.069611",".0000471","-.1131606",".0280013","-4.041261",".0000532","-.1099221",".0140703","-7.812343","5.55e-15","-.1056796",".0121832","-8.674234","0"
"stateyrv2","-.296456",".0279133","-10.62062","0","-.2956165",".0280284","-10.54703","0","-.1208681",".0132106","-9.149341","0","-.1152583",".0121413","-9.493087","0"
"stateyrv3","-.1486958",".0278472","-5.339703","9.31e-08","-.1479626",".0279607","-5.291811","1.21e-07",".1071144",".0131904","8.120623","4.44e-16",".11301",".0121578","9.295229","0"
"stateyrv4",".0583449",".0278118","2.09785",".0359184",".0591473",".0279165","2.11872",".0341141",".1391316",".014023","9.921653","0",".1282162",".0117953","10.87009","0"
"stateyrv5","-.0931177",".0281226","-3.311134",".0009292","-.0919364",".0282199","-3.257863",".0011225","-.0970332",".0143398","-6.766704","1.32e-11","-.0983477",".0128932","-7.627871","2.38e-14"
"stateyrv6","-.0636466",".0284622","-2.236179",".02534","-.0627684",".0286853","-2.188174",".028657","-.1045139",".0158949","-6.575294","4.86e-11","-.1136905",".0149147","-7.622713","2.49e-14"
"stateyrv7","-.0929559",".028474","-3.264587",".0010962","-.0945114",".0287109","-3.291829",".0009954","-.2257873",".0169759","-13.30046","0","-.2234159",".016065","-13.907","0"
"stateyrv8","-.1626364",".0281262","-5.782371","7.37e-09","-.1613177",".0282304","-5.714322","1.10e-08","-.0489754",".0244025","-2.00698",".0447518","-.0563319",".0236003","-2.386909",".0169907"
"stateyrv9","-.1089931",".0277756","-3.924059",".0000871","-.1083809",".0278634","-3.889729",".0001004","-.0704751",".016361","-4.307498",".0000165","-.0970967",".0139694","-6.950675","3.64e-12"
"stateyrv10","-.0749544",".0283533","-2.643583",".0082034","-.0739759",".0283826","-2.606379",".0091505","-.0968036",".0146754","-6.596304","4.22e-11","-.1056663",".0139606","-7.568892","3.77e-14"
"stateyrv11","-.3629622",".0288177","-12.59511","0","-.3619005",".0290517","-12.45713","0",".0461391",".0204198","2.259523",".0238509",".0239066",".0193125","1.237882",".2157598"
"stateyrv12","-.1959557",".0297366","-6.589715","4.41e-11","-.194703",".0297179","-6.551717","5.69e-11",".2008782",".0229002","8.771886","0",".1879171",".0204369","9.195009","0"
"stateyrv13","-.4047468",".033276","-12.16331","0","-.4027548",".0333708","-12.06907","0","-.0146923",".0151865","-.9674622",".333313","-.0270048",".0137525","-1.963632",".0495727"
"stateyrv14","-.1494089",".0281384","-5.309785","1.10e-07","-.1478715",".0282161","-5.24067","1.60e-07","-.0504153",".0137704","-3.661124",".0002511","-.0725359",".0120514","-6.0189","1.76e-09"
"stateyrv15",".004073",".0282049",".144408",".8851783",".0054967",".0282771",".1943886",".8458716","-.486783",".0330399","-14.73318","0","-.5078061",".0336563","-15.08799","0"
"stateyrv16","-.1384775",".0333957","-4.14657",".0000337","-.1385758",".0335622","-4.128921",".0000364","-.1923469",".0222264","-8.653987","0","-.1999561",".0213398","-9.370109","0"
"stateyrv17","-.1760204",".0304036","-5.789455","7.06e-09","-.1758257",".0306258","-5.741095","9.41e-09",".4270242",".0236921","18.02393","0","-.1188348",".0157305","-7.554433","4.20e-14"
"stateyrv18","-.0421727",".0331245","-1.273158",".2029618","-.0378501",".0332009","-1.140033",".2542725",".3302067",".0217302","15.19573","0","-.0826859",".0155241","-5.326279","1.00e-07"
"stateyrv19","-.1881728",".02805","-6.708475","1.97e-11","-.1880186",".0281561","-6.67772","2.43e-11",".4793562",".028522","16.80657","0",".0027233",".0148377",".1835389",".8543752"
"stateyrv20","-.2388869",".0278073","-8.590785","0","-.2387981",".0279012","-8.558704","0",".3120527",".0342729","9.104946","0",".0062546",".0132252",".4729311",".6362623"
"stateyrv21","-.1804532",".0367658","-4.908188","9.19e-07","-.1797508",".036857","-4.876982","1.08e-06","-.1491445",".0193865","-7.693208","1.44e-14","-.0936399",".0123862","-7.560048","4.02e-14"
"stateyrv22","-.2061132",".0401573","-5.132649","2.86e-07","-.2048508",".0401373","-5.103751","3.33e-07","-.1084267",".018546","-5.846375","5.02e-09","-.1420008",".0200635","-7.077579","1.47e-12"
"stateyrv23","-.1044841",".0301347","-3.467239",".0005258","-.1022573",".0300983","-3.397445",".0006802","-.0135351",".0171085","-.7911322",".4288668",".0232371",".0134652","1.725712",".0843992"
"stateyrv24","-.2024901",".0304094","-6.658801","2.76e-11","-.1992922",".0305362","-6.526416","6.74e-11",".0041338",".015381",".2687608",".7881137","-.0553642",".013697","-4.042062",".000053"
"stateyrv25","-.200269",".0285087","-7.024838","2.14e-12","-.1980406",".0285839","-6.9284","4.26e-12","-.0761911",".0144548","-5.271007","1.36e-07","-.1221245",".0126931","-9.621315","0"
"stateyrv26","-.0451061",".0295766","-1.525062",".1272435","-.0421338",".0296061","-1.423144",".1546944","-.1201642",".0205195","-5.856099","4.74e-09","-.1082657",".0120972","-8.949653","0"
"stateyrv27","-.1656447",".0369245","-4.48604","7.26e-06","-.1611168",".0370382","-4.350012",".0000136",".0399249",".0145401","2.745842",".0060356","-.0985015",".0119607","-8.235425","2.22e-16"
"stateyrv28","-.1800229",".0311354","-5.781942","7.38e-09","-.1782041",".0311315","-5.724244","1.04e-08","-.0417091",".0151749","-2.748555",".0059859","-.1033379",".0115809","-8.923133","0"
"stateyrv29","-.1331425",".0358752","-3.711269",".0002062","-.1274281",".0358563","-3.553855",".0003796","-.1090812",".0137402","-7.938867","2.00e-15","-.1348351",".0126226","-10.68206","0"
"stateyrv30","-.1972817",".0287925","-6.851855","7.29e-12","-.1951813",".0288397","-6.767807","1.31e-11","-.0953432",".0130348","-7.314486","2.58e-13","-.1773661",".0119414","-14.85298","0"
"stateyrv31","-.3588304",".0292338","-12.27449","0","-.3566659",".0291299","-12.24398","0","-.0866451",".0126738","-6.83655","8.11e-12","-.1328672",".012111","-10.9708","0"
"stateyrv32",".0174168",".088028",".197855",".8431585",".0202749",".0875181",".2316657",".8167976","-.0859938",".0136392","-6.304919","2.88e-10","-.1085257",".0108908","-9.96489","0"
