"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","","","est8","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"D.log_real_earn",".004471",".0137245",".3257707",".7446916","-.2931953",".0690219","-4.24786",".0000216","","","","","","","","","-.0186324",".0115497","-1.613241",".1071993","-.16017",".0786967","-2.035281",".0418226","","","","","","","",""
"msa1990",".0087137",".0015699","5.550574","3.99e-08",".0102115",".0018498","5.520265","3.38e-08",".0082339",".001534","5.367667","1.07e-07",".0131614",".0023125","5.691422","1.26e-08",".0056589",".0019689","2.874142",".0041897",".0063233",".001928","3.279717",".0010391",".0055756",".0019538","2.853662",".0044657",".0078179",".0021401","3.653076",".0002591"
"log_pop","-.0013262",".0006055","-2.19037",".0288143","-.0010641",".0006854","-1.552433",".1205586","-.0012666",".0005586","-2.267542",".0236498","-.0018123",".0007916","-2.289358",".0220586",".0056241",".0004443","12.65688","7.84e-33",".0057425",".0004579","12.53971","0",".005608",".0004468","12.5502","2.30e-32",".0053636",".0004781","11.21759","0"
"D.log_pop",".3187645",".0361993","8.805816","9.43e-18",".4859347",".0756484","6.423597","1.33e-10",".2736194",".0558481","4.899346","1.19e-06",".7411194",".1282963","5.776623","7.62e-09",".5427602",".1301049","4.171712",".0000345",".6258326",".123126","5.082863","3.72e-07",".5322346",".1357772","3.919913",".0000984",".7540825",".1493758","5.048225","4.46e-07"
"manufact_earn_share_1969","-.0033696",".0059874","-.562793",".5737494","-.0049939",".0067282","-.7422269",".4579499","-.0034293",".0057507","-.5963245",".5511441","-.0030835",".0079253","-.3890664",".6972271",".0017484",".0059555",".2935793",".7691773",".0001883",".0063027",".0298837",".9761598",".0019521",".0059395",".3286682",".7425171",".0010507",".0064021",".1641176",".8696386"
"stateyrv1","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".",".2316436",".0031782","72.88423","7.7e-307",".0045745",".0190296",".2403878",".8100297",".2314454",".0031955","72.42951","2.5e-305",".0041713",".0194224",".2147683",".8299479"
"stateyrv2","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".",".0641686",".0033337","19.24824","4.02e-65","-.1684859",".0189604","-8.886206","0",".0646835",".0032065","20.17286","5.25e-70","-.1745252",".0197382","-8.841994","0"
"stateyrv3","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".",".2160831",".0033482","64.53736","8.0e-278","-.0173612",".018869","-.9200882",".3575266",".2167031",".0032871","65.92611","7.6e-283","-.0218972",".0193893","-1.129346",".2587521"
"stateyrv4","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".",".4258893",".0037026","115.0242","0",".1949196",".0189322","10.29566","0",".4261985",".0037263","114.3745","0",".1956861",".0193104","10.13371","0"
"stateyrv5","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".",".2693099",".0035413","76.04818","3.6e-317",".0401119",".0190304","2.10778",".0350501",".2693859",".0034767","77.48392","9.9e-322",".0388823",".01924","2.020916",".0432885"
"stateyrv6","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".",".2984708",".0039079","76.3754","3.3e-318",".0674189",".0187604","3.593673",".000326",".2987858",".0040442","73.88018","4.0e-310",".065558",".0189422","3.460958",".0005383"
"stateyrv7","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".",".2853281",".0043961","64.9053","3.7e-279",".0488988",".0190802","2.562798",".0103832",".2863678",".00476","60.16093","1.8e-261",".0621961",".0194659","3.195141",".0013976"
"stateyrv8","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".",".1922499",".0061665","31.17661","3.2e-129","-.0382086",".0195751","-1.9519",".0509501",".1924864",".0061473","31.31212","6.2e-130","-.040987",".0197363","-2.076735",".037826"
"stateyrv9","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".",".241002",".0044107","54.64018","1.3e-239",".0095822",".0191453",".5004981",".6167244",".2413605",".0042802","56.39064","1.1e-246",".0054838",".0194999",".2812218",".7785403"
"stateyrv10","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".",".2794088",".0027306","102.3251","0",".0498579",".0187771","2.655251",".0079249",".279534",".0027545","101.4815","0",".0505296",".0189559","2.665644",".0076841"
"stateyrv11","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","-.2286804",".0182384","-12.53838","0","0",".",".",".","-.2347516",".0192691","-12.1828","0"
"stateyrv12","-.0775716",".0250828","-3.092617",".0020599",".1086518",".0141571","7.674695","1.67e-14","-.0769414",".0248445","-3.096922",".0020306",".1018386",".0158298","6.433361","1.25e-10",".2063597",".0095554","21.59607","1.31e-77","-.0178379",".0215244","-.8287291",".4072577",".2057831",".009544","21.5615","2.01e-77","-.0216665",".0216776","-.9994873",".3175587"
"stateyrv13","-.1036224",".0258793","-4.004059",".0000687",".0769161",".0131706","5.839993","5.22e-09","-.1020106",".0258768","-3.942165",".0000886",".0663023",".0134014","4.947435","7.52e-07",".0124115",".0519665",".238836",".8113114","-.2146402",".0558965","-3.839957",".0001231",".0122021",".0517686",".2357049",".8137393","-.2198108",".0573523","-3.832641",".0001268"
"stateyrv14","-.0780402",".0260563","-2.99506",".0028371",".0980477",".0145566","6.7356","1.63e-11","-.0761299",".0256558","-2.96736",".0031023",".0885992",".0152359","5.815152","6.06e-09",".2120016",".0038277","55.38682","1.2e-242","-.0169115",".0190963","-.8855906",".3758382",".212034",".0037497","56.54746","2.5e-247","-.0217336",".0194182","-1.11924",".2630378"
"stateyrv15","-.0846716",".0240437","-3.521575",".0004558",".0940382",".0101376","9.276138","0","-.083477",".0239313","-3.488199",".0005156",".0886601",".0099602","8.901466","0",".3670556",".0050639","72.48435","1.6e-305",".1394091",".0193593","7.201127","5.97e-13",".3669278",".0050496","72.66453","4.1e-306",".1366301",".0194115","7.038608","1.94e-12"
"stateyrv16","-.081258",".0280457","-2.897345",".0038765",".0881427",".0180769","4.87599","1.08e-06","-.0799923",".0278379","-2.8735",".0041779",".0900748",".0192616","4.676385","2.92e-06",".2548225",".0166102","15.34135","2.75e-45",".0231333",".0250295",".9242416",".3553605",".2552256",".0165509","15.42062","1.13e-45",".0242491",".0246961",".9819004",".3261489"
"stateyrv17","-.0455253",".029953","-1.519888",".1289738",".131108",".0197538","6.637096","3.20e-11","-.0454387",".0300113","-1.514054",".1304467",".1372608",".0184893","7.423788","1.14e-13",".2123652",".0088319","24.0453","7.70e-91","-.0163882",".0207732","-.7889115",".4301637",".2123917",".0087353","24.31407","2.69e-92","-.0132265",".0211869","-.6242756",".5324466"
"stateyrv18","-.1269797",".0269551","-4.710783","2.96e-06",".0690582",".0171958","4.016",".0000592","-.1246353",".0269419","-4.626077","4.41e-06",".0387753",".0159774","2.426879",".0152293",".3048541",".01585","19.2337","4.79e-65",".0856561",".0252849","3.387635",".000705",".3036064",".0157867","19.23183","4.90e-65",".0691475",".0243972","2.83424",".0045935"
"stateyrv19","-.1015083",".0245425","-4.136027",".0000395",".0710064",".0104341","6.805199","1.01e-11","-.0994285",".024557","-4.048884",".000057",".0631117",".0102254","6.172046","6.74e-10",".1834406",".0047723","38.43837","1.9e-166","-.0472096",".0191735","-2.462234",".0138075",".1836998",".0047456","38.70933","8.6e-168","-.0511261",".0194896","-2.623254",".0087094"
"stateyrv20","-.0742333",".0240735","-3.083617",".0021224",".0974879",".0097073","10.04277","0","-.0722318",".0240198","-3.007172",".0027278",".0909585",".009961","9.131496","0",".1184644",".0042976","27.56534","6.6e-110","-.1123835",".0190622","-5.895633","3.73e-09",".1187502",".0042178","28.15447","4.4e-113","-.115718",".0192606","-6.008006","1.88e-09"
"stateyrv21","-.0642673",".0277385","-2.316898",".0207863",".112708",".0182452","6.177406","6.52e-10","-.0625808",".0277527","-2.254941",".0244337",".1044743",".0160104","6.525402","6.78e-11",".189418",".017124","11.06154","4.35e-26","-.0391585",".0250267","-1.564671",".1176601",".189408",".0171573","11.03949","5.34e-26","-.0433842",".0246545","-1.759687",".0784609"
"stateyrv22","-.1269591",".0335419","-3.785093",".0001663",".0539636",".0188049","2.869651",".0041093","-.1266643",".0336221","-3.76729",".0001784",".0546252",".0183362","2.979089",".0028911",".1536985",".019628","7.830581","2.10e-14","-.0737121",".0323048","-2.28177",".0225029",".1535471",".0195476","7.855041","1.76e-14","-.0727191",".0330085","-2.203043",".0275917"
"stateyrv23",".0249639",".0280247",".8907807",".3733415",".2183145",".0200321","10.89823","0",".0231798",".0276802",".8374149",".4026346",".2266935",".0227641","9.958368","0",".2705741",".0154553","17.50689","4.31e-56",".0496875",".0243283","2.042374",".0411144",".2695824",".0154808","17.41393","1.28e-55",".0533471",".0240819","2.215236",".0267439"
