"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"grp_9","-1.190694",".4145343","-2.872364",".0040741","-.3984853",".3381949","-1.178271",".2386885","-.6194741",".4721312","-1.31208",".189493","-.6369581",".4274466","-1.490146",".1361857",".0240695",".2812296",".0855865",".9317951","-.3216304",".3196892","-1.006072",".3143809","-.1044076",".5248467","-.1989297",".8423177"
"grp_10",".0521962",".1431463",".3646353",".7153837",".4341597",".1323713","3.279864",".0010386",".7141194",".1588217","4.496358","6.91e-06",".188372",".1344828","1.400714",".1612995",".7019022",".0991928","7.076139","1.48e-12",".4092369",".0803438","5.09357","3.51e-07",".5967027",".132609","4.499717","6.80e-06"
"grp_11","-1.492505",".4240115","-3.519963",".0004316","-.52743",".3087109","-1.708492",".0875452","-.7801326",".5002345","-1.559534",".1188701","-.5382693",".4208931","-1.278874",".2009413","-.3003514",".2818232","-1.065744",".2865394","-.5059645",".3168571","-1.596822",".1103053","-.875336",".4859772","-1.801187",".0716733"
"grp_12","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"_cons",".3456849",".4365178",".7919148",".4284104",".4545986",".3569748","1.273475",".2028494","-.3001836",".5027039","-.5971379",".5504153",".5182645",".4304137","1.204108",".2285479","-.7327035",".2937228","-2.494541",".012612",".0089068",".3135018",".0284106",".9773347","-.7731978",".512088","-1.509892",".1310709"
"N","182","","","","180","","","","184","","","","184","","","","184","","","","184","","","","184","","",""
"r2",".6133507","","","",".485684","","","",".6790884","","","",".6295571","","","",".6644929","","","",".6692039","","","",".7181209","","",""
"df_m","25","","","","25","","","","25","","","","25","","","","25","","","","25","","","","25","","",""
"df_r","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"df_b","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
