"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",47.6802989833536,2.29582399460009,20.7682727837588,2.35678496665135e-73
"educ_lag",1.09551866094199,0.0392605951505061,27.9037711156009,4.04935129257123e-112
"matched2$AC_type_noSTSC",1.30160011591575,1.56429177525518,0.832069909530413,0.405685267009324
"PropSC",0.0741090903200374,0.062166925299189,1.19209837004765,0.233672228681311
"stateFE3",-11.2571889206676,1.89752408247158,-5.93256708816302,4.92495558537311e-09
"stateFE6",-7.11638578390112,2.02774872200934,-3.50950081075594,0.000481009199535556
"stateFE8",-7.13260968451129,1.8583126197108,-3.83821839708612,0.000136452460424095
"stateFE9",-14.6053628994315,1.72523548404832,-8.46572136643023,1.79316202944268e-16
"stateFE10",-26.3248755547345,1.84764734557228,-14.2477814382813,4.01430129979875e-40
"stateFE19",-13.2559027811433,1.87986311787238,-7.05152553668177,4.67528938226547e-12
"stateFE21",-10.6177787940376,1.95805071181266,-5.42262706986182,8.38294815895782e-08
"stateFE23",-3.20767174563958,1.85498211148663,-1.72921977294372,0.0842604025543957
"stateFE24",-6.35283204503399,2.26168586185027,-2.80889231886375,0.00512560960076783
"stateFE27",-6.03245216488873,2.06953063274241,-2.91488904268834,0.00368470937924625
"stateFE28",-8.98861776967646,1.86804681771284,-4.81177328343502,1.87485329585234e-06
"stateFE29",-12.4159927768153,1.86470114781882,-6.65843574523377,6.03783772032144e-11
"stateFE32",-7.82763150823399,2.32825109193872,-3.36202204965616,0.000820647039884651
"stateFE33",-10.6804816105247,1.90846954018143,-5.59635948368836,3.27006257834092e-08
"matched2$AC_type_noSTSC:PropSC",-0.0634674859125307,0.0710551875651559,-0.893213966317836,0.372084208319793
