"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",26.690780855224,2.03114239569278,13.1407728536533,5.01952823792835e-35
"worker_lag",0.532742782674798,0.0351821720858491,15.1424073924383,2.16031549086837e-44
"matched2$AC_type_noSTSC",-1.17650172155634,1.1334515381978,-1.03798149449512,0.299677519032474
"PropSC",0.0317118014673429,0.0450091449784273,0.7045635166485,0.48134268956887
"stateFE3",-4.75607781970171,1.42889942069988,-3.32849027076528,0.0009241425565654
"stateFE6",-2.8721768443829,1.52940010752009,-1.87797609681099,0.0608468451305909
"stateFE8",-2.35806461790673,1.33482223964372,-1.76657576407786,0.0777842575287403
"stateFE9",-9.84550335234211,1.25311735567745,-7.85680870808746,1.71147515620855e-14
"stateFE10",-8.0313090213847,1.29122081531912,-6.21993459685652,9.07231930602108e-10
"stateFE19",-2.14582691233664,1.41034795972571,-1.52148758576853,0.128640055128248
"stateFE21",-5.75756665132695,1.43073516691946,-4.0242015325056,6.41315343499904e-05
"stateFE23",-4.96050164595656,1.32885326099189,-3.73291904499216,0.000206428701566472
"stateFE24",-2.82026379197883,1.63815056705114,-1.72161451377185,0.0856310379263101
"stateFE27",-4.11631907973078,1.49685356517723,-2.74998114410971,0.00613121077144954
"stateFE28",-3.03205647517759,1.3995431876591,-2.16646152967173,0.0306507560864887
"stateFE29",-1.12084160658265,1.3424611914799,-0.834915462507376,0.404082304912888
"stateFE32",-9.38962007359561,1.60997904272805,-5.83213807409892,8.7546510000845e-09
"stateFE33",0.0377662195412649,1.38459270467735,0.0272760497824994,0.97824821065318
"matched2$AC_type_noSTSC:PropSC",0.0386974202119481,0.0514880122378664,0.751581164818953,0.4525840897452
