	(1)	(2)	(3)
VARIABLES	lrent_ut	lrent_ut	lrent_ut
			
lvouch	0.007	0.011	-0.002
	(0.015)	(0.013)	(0.025)
linc	0.808***	0.872***	0.874***
	(0.209)	(0.209)	(0.278)
ltotpop	0.359**	0.343*	0.458**
	(0.174)	(0.194)	(0.202)
lvacancy	-0.019	-0.010	0.019
	(0.020)	(0.019)	(0.030)
evrod	-0.001	0.001	0.003
	(0.007)	(0.010)	(0.015)
drywash	0.036***	0.026*	0.051***
	(0.011)	(0.015)	(0.016)
cracks	0.016*	0.008	0.033*
	(0.009)	(0.011)	(0.017)
ifsew	-0.008	-0.015	-0.019
	(0.016)	(0.023)	(0.025)
_Iyear_1999	0.003	0.059***	-0.148***
	(0.015)	(0.016)	(0.020)
_Iyear_2001	0.079***	0.135***	-0.076***
	(0.021)	(0.022)	(0.026)
_Iyear_2003	0.114***	0.178***	-0.058**
	(0.020)	(0.019)	(0.026)
Constant	-7.311**	-7.979***	-9.187**
	(2.932)	(2.918)	(3.607)
			
Observations	24,721	14,029	10,692
R-squared	0.094	0.171	0.044
Number of control	8,388	4,337	4,051
Robust standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
