	(1)	(2)	(3)	(4)
VARIABLES	lrent_ut	lrent_ut	lrent_ut	lrent_ut
				
lvouch	0.04536000**	0.04536000**	0.04536000**	0.04536000**
	(0.018)	(0.018)	(0.018)	(0.018)
c.lvouch#c.lfmrratio	0.16252642	0.16252642	0.16252642	0.16252642
	(0.102)	(0.102)	(0.102)	(0.102)
c.lvouch#c.lfmrratio#c.lfmrratio	-1.09213739**	-1.09213739**	-1.09213739**	-1.09213739**
	(0.525)	(0.525)	(0.525)	(0.525)
c.lvouch#c.lfmrratio#c.lfmrratio#c.lfmrratio	0.02237792	0.02237792	0.02237792	0.02237792
	(0.603)	(0.603)	(0.603)	(0.603)
c.lvouch#c.lfmrratio#c.lfmrratio#c.lfmrratio#c.lfmrratio	3.86525530**	3.86525530**	3.86525530**	3.86525530**
	(1.886)	(1.886)	(1.886)	(1.886)
c.lvouch#c.lfmrratio#c.lfmrratio#c.lfmrratio#c.lfmrratio#c.lfmrratio	2.05455088**	2.05455088**	2.05455088**	2.05455088**
	(1.013)	(1.013)	(1.013)	(1.013)
linc	1.08224645***	1.08224645***	1.08224645***	1.08224645***
	(0.194)	(0.194)	(0.194)	(0.194)
ltotpop	0.51818961***	0.51818961***	0.51818961***	0.51818961***
	(0.170)	(0.170)	(0.170)	(0.170)
lvacancy	0.01246122	0.01246122	0.01246122	0.01246122
	(0.023)	(0.023)	(0.023)	(0.023)
evrod	0.00841918	0.00841918	0.00841918	0.00841918
	(0.008)	(0.008)	(0.008)	(0.008)
drywash	0.03216616***	0.03216616***	0.03216616***	0.03216616***
	(0.011)	(0.011)	(0.011)	(0.011)
cracks	0.00380232	0.00380232	0.00380232	0.00380232
	(0.010)	(0.010)	(0.010)	(0.010)
ifsew	-0.03443203*	-0.03443203*	-0.03443203*	-0.03443203*
	(0.018)	(0.018)	(0.018)	(0.018)
_Iyear_1999	-0.00938323	-0.00938323	-0.00938323	-0.00938323
	(0.015)	(0.015)	(0.015)	(0.015)
_Iyear_2001	0.04672312**	0.04672312**	0.04672312**	0.04672312**
	(0.019)	(0.019)	(0.019)	(0.019)
_Iyear_2003	0.07947680***	0.07947680***	0.07947680***	0.07947680***
	(0.018)	(0.018)	(0.018)	(0.018)
o.lfmrratio	-	-	-	-
				
_IyeaXlfm_1999	-0.31577466***	-0.31577466***	-0.31577466***	-0.31577466***
	(0.020)	(0.020)	(0.020)	(0.020)
_IyeaXlfm_2001	-0.38010359***	-0.38010359***	-0.38010359***	-0.38010359***
	(0.032)	(0.032)	(0.032)	(0.032)
_IyeaXlfm_2003	-0.38885785***	-0.38885785***	-0.38885785***	-0.38885785***
	(0.032)	(0.032)	(0.032)	(0.032)
Constant	-12.80017136***	-12.80017136***	-12.80017136***	-12.80017136***
	(2.645)	(2.645)	(2.645)	(2.645)
				
Observations	18,040	18,040	18,040	18,040
R-squared	0.182	0.182	0.182	0.182
Number of control	5,584	5,584	5,584	5,584
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
