"","est1","","","","est2","","","","est3","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p"
"0.drug_free","0",".",".",".","0",".",".",".","0",".",".","."
"1.drug_free","-.0091457",".0229263","-.3989147",".6908329","-.0071049",".0262053","-.2711264",".7868699","-.0131226",".0252726","-.5192421",".6047747"
"1.temp","0",".",".",".","","","","","","","",""
"0.drug_free#1.temp","0",".",".",".","","","","","","","",""
"1.drug_free#1.temp","0",".",".",".","","","","","","","",""
"dist_drug","-9.38e-06",".0000458","-.2045763",".8383318","-8.35e-06",".0000464","-.1799867",".8575385","-6.89e-06",".0000429","-.1605128",".872811"
"0.med_p","","","","","0",".",".",".","0",".",".","."
"1.med_p","","","","","-.0564846",".0474968","-1.189229",".2372526","-.0707386",".045852","-1.542758",".1261457"
"0.high_p","","","","","0",".",".",".","0",".",".","."
"1.high_p","","","","","-.2070516",".1097736","-1.88617",".0622636","-.2277701",".1014584","-2.244961",".0270419"
"0.drug_free#0.med_p","","","","","0",".",".",".","0",".",".","."
"0.drug_free#1.med_p","","","","","0",".",".",".","0",".",".","."
"1.drug_free#0.med_p","","","","","0",".",".",".","0",".",".","."
"1.drug_free#1.med_p","","","","","-.1317721",".0636081","-2.071623",".0409549","-.1325579",".0614171","-2.158321",".0333709"
"0.drug_free#0.high_p","","","","","0",".",".",".","0",".",".","."
"0.drug_free#1.high_p","","","","","0",".",".",".","0",".",".","."
"1.drug_free#0.high_p","","","","","0",".",".",".","0",".",".","."
"1.drug_free#1.high_p","","","","","-.002961",".116136","-.0254959",".9797118",".0022191",".1199165",".0185057",".9852734"
"_cons",".2519978",".0241498","10.43476","1.55e-17",".257894",".0260084","9.915787","2.04e-16",".2604553",".0234243","11.11905","5.25e-19"
"N","422182","","","","422182","","","","422182","","",""
"r2",".4626937","","","",".4630791","","","",".4626178","","",""
"df_m","2","","","","6","","","","6","","",""
"df_r","97","","","","97","","","","97","","",""
"df_b","","","","","","","","","","","",""
"df","","","","","","","","","","","",""
