"","est1","","est2","","est3","","est4","","est5","","est6","","est7","","est8","","est9","","est10","","est11","","est12",""
"","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se"
"_Iyear_2000","3.027926","4.211068","-13.64912","7.457277","6.803571","3.79117","-13.84194","3.31368","-23.35457","5.122217",".0228672","2.114461","9.427656","2.068671","2.768541","3.051986","5.062578","1.672303","13.96911","3.372215","9.85547","2.025943","5.189433","2.219332"
"_Iyear_2001","-3.009506","3.407762","-20.15991","5.840821",".8678808","2.385223","-17.66742","3.337735","-27.50921","4.355546","-3.286013","1.565263","3.957327","2.543193","-2.868565","3.573758","-.6324123","1.756707","11.77662","3.298641","7.476301","2.306001","2.575481","1.775007"
"_Iyear_2002","-4.207479","4.701196","-21.63281","6.576478",".0968787","2.806246","-18.56865","3.685234","-28.56787","4.847251","-3.410006","1.943869","6.390815","2.932108","-.5483047","3.835643","1.612066","1.610203","10.43721","3.375025","6.142258","2.885208","1.094963","2.936692"
"_Iyear_2003","-7.66216","4.514273","-25.56313","6.628612","-2.265557","2.422714","-20.55852","3.254317","-30.94515","4.458856","-4.26764","1.546101","6.892719","1.980483",".0010903","2.774881","2.173905","1.533998","9.949605","2.19229","5.0121","2.523369","-.1386514","2.23553"
"_Iyear_2004","-6.557106","5.37274","-26.01264","7.696086","-1.603774","3.352485","-22.0004","4.920972","-33.42309","6.505117","-5.422595","2.945968","6.622219","2.784585","-1.042484","3.234247","1.473744","1.660992","11.45148","2.689591","6.660606","2.052556","1.288031","2.203576"
"_Iyear_2005","-7.371217","5.83798","-28.01948","8.602589","-2.342635","3.534163","-21.02957","3.64048","-33.2259","5.289608","-3.844592","1.990959","6.724832","2.84733","-1.322372","3.836655","1.392791","1.875827","12.07504","3.249844","7.020347","2.709549","1.46551","2.98814"
"_Iyear_2006","-5.488197","4.620181","-26.72729","7.54709","-.3033711","2.100455","-22.88548","4.107779","-35.50977","5.800054","-5.08165","2.096289","5.636546","2.35679","-2.659423","3.047673",".0827136","1.66623","11.47483","2.697798","6.358368","2.66044",".5537944","2.436498"
"_Iyear_2007","-6.55131","3.586959","-24.46851","5.613608","-.1204926","1.55441","-23.30386","4.247902","-33.62082","5.49624","-4.399325","1.823892","6.612156","1.813845","-.5447752","2.339064","1.109995","2.782481","11.24426","1.962772","6.945531","2.154941",".877857","2.217553"
"_Iyear_2008","-8.173381","4.211886","-23.99729","6.008004","0",".","-20.3387","3.463209","-29.12029","4.561169","0",".","5.281147","3.061397","-1.004866","3.851138","0",".","10.49079","2.127783","6.222013","2.272363","0","."
"_Iyear_2009","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"mlda19","","","4.531726","3.466803",".2311471","3.076235","","","1.845672","3.267526",".0047565","3.518361","","","1.029695","1.631477",".3046849","1.733941","","","4.07662","2.176187","2.261232","1.657911"
