"","est1","","est2","","est3","","est4","","est5","","est6","","est7","","est8","","est9","","est10","","est11",""
"","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se"
"_Iyear_1991","5.881899","1.764833","-.3567398","1.385929","5.611251","2.353803","-.0069037","1.50512","-.9765388","1.152745","3.538002","1.341685","5.261922","5.27265","2.055248","1.870177","5.55585","2.188671","2.084081","1.432514","-6.011034","2.263665"
"_Iyear_1992","6.311794","2.542595","-1.212425","1.233255","2.793773","2.0546","1.824641","3.005271","-3.527392","1.587694",".1809522","1.876962","-.2678229","1.305558","4.527737","2.269768","4.756647","2.600126","-.6373151","1.326506","-2.362097","2.182111"
"_Iyear_1993","7.245234","2.784986","-.4012431","2.012695","1.68338","2.026423","-.4226838","1.84389","-4.151379","2.290718","1.350423","1.502373","2.549521","2.075642","2.26354","1.981188","4.948818","1.963647","4.306837","1.369767",".0414181","3.686657"
"_Iyear_1994","10.84677","2.959761","-2.327383","1.511689","3.601363","2.528661","1.838413","1.711384","-3.342163","1.762095","3.346212","1.344852",".2369081","2.976438","2.841169","1.8008","4.200376","1.527978","2.528894","1.758154","-2.631607","1.405753"
"_Iyear_1995","9.192767","3.576655","-1.258529","2.026041","2.543656","2.672668","-1.442344","1.629805","-2.294558","1.751156","1.363978","1.990236","-2.174813","1.959166","2.095785","2.270372","7.325588","2.295323","4.229789","1.717716","4.101408","1.972137"
"_Iyear_1996","6.489198","2.229348",".4251384","1.936879","1.644781","2.229918",".6819453","1.700027","-2.963707","1.824009","2.290498","1.657666","-3.496468","2.90947","2.388079","2.669188","5.40467","2.18647","1.490613","2.257856",".519244","1.140827"
"_Iyear_1997","5.986533","3.192435",".1262645","1.280855","1.35879","1.754516","-.7721298","1.35663","-3.648325","1.570315","-.1875715","1.204944",".5374989","1.525284","3.013114","1.826489","4.011008","1.750652","7.174743","1.867465","4.510211","1.303417"
"_Iyear_1998","2.179671","2.299003","-1.429282","2.166365","1.790283","2.027202","-4.64947","2.340164","-2.132338","1.434802",".9795307","1.428981","-.8352524","1.577205",".9093436","1.422914","1.070504","1.405019","3.806499","1.5315","2.377382","1.654612"
"_Iyear_1999","-1.049216","1.647552","-.5012127","1.998653","3.839226","2.470594","-1.883085","2.043718","-1.481117","1.43835",".9967245","2.141666","-3.315279","1.960953","-1.187942","2.120932","4.569641","2.176021","-1.491706","1.701374","4.236641","2.183236"
"_Iyear_2000","1.303249","1.548291","-3.020639","1.564256","3.340103","1.909135",".2573408","3.297809","-2.75454","1.419696",".5418941","1.295337","-1.074613","2.291407","-2.068631","4.039805","4.315295","2.159648","2.677724","1.951209",".1286915","3.243467"
"_Iyear_2001",".5092104","3.641461","-4.567528","1.576255",".0617067","2.59506",".7926036","1.323073","-4.099868","1.92264",".2511744","1.879633","-2.22314","1.684042","-1.794805","2.761699","2.689717","2.001899",".9023689",".9228311","1.458464","1.552261"
"_Iyear_2002","-1.177786","1.323009","-2.513101","1.944574","3.285422","1.915645","2.14767",".9108351","-1.706269","1.396363","1.910763","1.461965","-1.836442","1.371709","1.37449","1.855602","1.703085","1.928911",".0934747","1.495671","-.7462616","1.121465"
"_Iyear_2003","1.258218","3.014054",".3067334","4.052143",".758009","2.322845","-1.526073","1.26426","-1.903567","1.592866","2.210014","1.523252","-1.869958","1.303723","-2.020718","2.49141","1.484638","1.554957",".7682628",".8856453","-1.37146","1.301032"
