"","est1","","","","est2","","","","est3","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p"
"lvouch",".0234595",".057122",".4106919",".6822432",".1130438",".0644663","1.753532",".0828054",".2322571",".0560343","4.14491",".0000749"
"linc",".8917526",".2194353","4.063852",".0001008",".8739253",".2150053","4.064669",".0001005","1.009499",".2220621","4.54602",".0000164"
"ltotpop",".3191506",".2112951","1.51045",".1343191",".3697425",".2124733","1.740183",".0851347",".5571595",".2290483","2.432498",".0169086"
"lvacancy","-.0038794",".0179975","-.2155543",".8298072","-.0086654",".0172696","-.501771",".6170145","-.0088418",".0202846","-.4358865",".6639292"
"evrod",".0043411",".0104155",".41679",".6777925",".004515",".0103763",".4351249",".6644799",".0069793",".0099893",".6986756",".4864983"
"drywash",".0308425",".0156177","1.974842",".0512517",".0307648",".015577","1.975008",".0512326",".0322777",".0146959","2.196378",".030551"
"cracks",".0067924",".009919",".6847897",".4951798",".0074892",".0098576",".759732",".4493364",".0048954",".0097458",".5023042",".6166408"
"ifsew",".0032068",".0220222",".145616",".8845397",".0033362",".0221051",".1509253",".8803616",".0018174",".0224443",".080972",".9356382"
"_Iyear_1999",".0562209",".0167162","3.363256",".0011199",".0559457",".016063","3.482895",".0007579",".3698526",".0340433","10.86417","3.10e-18"
"_Iyear_2001",".1329687",".0221645","5.999166","3.77e-08",".1311411",".0211619","6.197028","1.56e-08",".5016128",".0596856","8.40425","4.82e-13"
"_Iyear_2003",".1764688",".0222078","7.946267","4.39e-12",".1741196",".0215572","8.077078","2.34e-12",".5987542",".0606664","9.869617","3.86e-16"
"lsaiz","0",".",".",".","0",".",".",".","0",".",".","."
"_IyeaXlsa_1999",".0151338",".0191184",".7915859",".4306165",".0155696",".0190231",".8184595",".4151871",".0340811",".0199352","1.709591",".0906763"
"_IyeaXlsa_2001",".0169937",".018813",".9032958",".3687027",".0326948",".0179429","1.822157",".0716452",".0572618",".0195748","2.925279",".0043237"
"_IyeaXlsa_2003","-.0159023",".0172375","-.92254",".3586342",".0127839",".0178138",".7176407",".4747776",".0392964",".0176123","2.231187",".028072"
"INT_saizg1","","","","","-.1897446",".0913279","-2.077619",".0405006","-.2541716",".086035","-2.95428",".0039694"
"INT_fmrlow","","","","","","","","","-.2791044",".1259674","-2.215688",".0291532"
"INT_saizg1_fmrlow","","","","","","","","",".0041373",".0073751",".5609727",".5761653"
"_Iyear_1999","","","","","","","","","0",".",".","."
"_Iyear_2001","","","","","","","","","0",".",".","."
"_Iyear_2003","","","","","","","","","0",".",".","."
"fmrratio_bins","","","","","","","","","0",".",".","."
"_IyeaXfmr_1999","","","","","","","","","-.1939563",".0171319","-11.32135","3.44e-19"
"_IyeaXfmr_2001","","","","","","","","","-.233448",".0293245","-7.960862","4.09e-12"
"_IyeaXfmr_2003","","","","","","","","","-.2676613",".0297288","-9.00342","2.63e-14"
"_cons","-8.003308","3.204881","-2.497225",".0142754","-8.659856","3.175607","-2.726992",".0076398","-12.90452","3.460379","-3.729221",".00033"
"N","12861","","","","12861","","","","12861","","",""
"r2",".1769469","","","",".1774918","","","",".2044799","","",""
"df_m","13","","","","14","","","","19","","",""
"df_r","93","","","","93","","","","93","","",""
"df_b","14","","","","15","","","","20","","",""
"df","","","","","","","","","","","",""
