"","est1","","","","est2","","","","est3","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p"
"lvouch",".0065271",".0146584",".4452825",".6568341",".0114431",".0128493",".8905666",".3747579","-.0016177",".025008","-.0646866",".9485214"
"linc",".8082378",".2090318","3.866578",".0001714",".8724828",".208811","4.178336",".0000526",".8744796",".2784593","3.140422",".0020824"
"ltotpop",".3587114",".1736202","2.066069",".0407483",".3426395",".1936411","1.769456",".0790925",".4577712",".2017216","2.269321",".0248708"
"lvacancy","-.0189831",".0196311","-.966994",".3352891","-.0096783",".0192281","-.5033431",".6155495",".0188468",".0300837",".6264773",".5320838"
"evrod","-.0010206",".0066037","-.1545525",".8774067",".0011044",".0098574",".1120395",".9109597",".0034176",".0152146",".2246251",".8226183"
"drywash",".0355835",".010545","3.374451",".0009677",".0263818",".0149699","1.762327",".0802941",".0511318",".0159645","3.202839",".0017057"
"cracks",".0159923",".0093791","1.705109",".0904912",".0075859",".0108427",".6996333",".4853691",".0327567",".0168148","1.948085",".0535269"
"ifsew","-.0084424",".0164767","-.5123819",".6092273","-.014551",".0228106","-.6379042",".5246246","-.019313",".0246107","-.7847418",".4340111"
"_Iyear_1999",".002568",".0147631",".1739453",".862171",".058502",".0156891","3.728839",".0002829","-.1479218",".0197285","-7.497859","8.44e-12"
"_Iyear_2001",".0790323",".0207447","3.809757",".0002111",".1346841",".0215319","6.255083","4.97e-09","-.0764102",".0256715","-2.976453",".0034697"
"_Iyear_2003",".1136056",".0197574","5.750035","5.76e-08",".1775717",".0186622","9.515044","1.02e-16","-.0583914",".0259014","-2.254371",".0258205"
"_cons","-7.310797","2.932305","-2.493191",".013878","-7.978692","2.917698","-2.734584",".007091","-9.186567","3.606718","-2.547071",".0120104"
"N","24721","","","","14029","","","","10692","","",""
"r2",".0943212","","","",".1707356","","","",".0441654","","",""
"df_m","10","","","","10","","","","10","","",""
"df_r","134","","","","134","","","","132","","",""
"df_b","11","","","","11","","","","11","","",""
"df","","","","","","","","","","","",""
