	(1)	(2)	(3)
VARIABLES	opp_college	opp_yschool	reele_inc
			
fpm0	-0.009	-0.111	0.029**
	(0.010)	(0.079)	(0.012)
fpm1	-0.026***	-0.231***	0.018*
	(0.009)	(0.064)	(0.011)
fpm2	-0.016**	-0.132***	0.010
	(0.007)	(0.048)	(0.008)
fpm3	-0.009	-0.051	0.013
	(0.006)	(0.045)	(0.008)
fpm4	-0.007	-0.073*	0.013
	(0.006)	(0.040)	(0.008)
fpm5	-0.006	-0.061*	0.011
	(0.006)	(0.032)	(0.007)
fpm6	0.000	-0.018	0.001
	(0.006)	(0.042)	(0.009)
dumm0_1	-0.001	-0.014	-0.000
	(0.001)	(0.011)	(0.002)
dumm0_2	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)
dumm0_3	-0.000	-0.000	-0.000
	(0.000)	(0.000)	(0.000)
dumm1_1	-0.001	-0.008	0.000
	(0.001)	(0.008)	(0.001)
dumm1_2	0.000	0.000	-0.000
	(0.000)	(0.000)	(0.000)
dumm1_3	-0.000	-0.000	0.000
	(0.000)	(0.000)	(0.000)
dumm2_1	-0.000	-0.008	-0.000
	(0.001)	(0.006)	(0.001)
dumm2_2	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)
dumm2_3	-0.000	-0.000	-0.000
	(0.000)	(0.000)	(0.000)
dumm3_1	-0.000	-0.005	0.000
	(0.001)	(0.004)	(0.001)
dumm3_2	0.000	0.000	-0.000
	(0.000)	(0.000)	(0.000)
dumm3_3	0.000	-0.000	0.000
	(0.000)	(0.000)	(0.000)
dumm4_1	-0.000	-0.005	-0.000
	(0.000)	(0.004)	(0.001)
dumm4_2	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)
dumm4_3	-0.000	-0.000	-0.000
	(0.000)	(0.000)	(0.000)
dumm5_1	0.000	-0.002	-0.001
	(0.000)	(0.003)	(0.001)
dumm5_2	-0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)
dumm5_3	0.000	0.000	-0.000
	(0.000)	(0.000)	(0.000)
dumm6_1	0.000	-0.001	0.000
	(0.000)	(0.002)	(0.000)
dumm6_2	-0.000	0.000	-0.000
	(0.000)	(0.000)	(0.000)
dumm6_3	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)
_Iterm_2005	0.041	0.453**	0.036
	(0.027)	(0.198)	(0.033)
_Iregions_2	-0.141***	-0.670***	-0.088**
	(0.035)	(0.233)	(0.041)
_Iregions_3	-0.063	-0.014	-0.085*
	(0.041)	(0.252)	(0.049)
_Iregions_4	-0.311***	-2.510***	0.066
	(0.048)	(0.373)	(0.059)
_Iregions_5	-0.213***	-1.443***	-0.022
	(0.055)	(0.402)	(0.070)
_Iregions_6	0.038	0.380	0.007
	(0.046)	(0.297)	(0.054)
_Iregions_7	-0.043	-0.097	-0.047
	(0.052)	(0.349)	(0.057)
_Iregions_8	-0.270***	-1.597***	-0.002
	(0.048)	(0.365)	(0.065)
_Iregions_9	0.019	0.003	0.069
	(0.047)	(0.317)	(0.052)
_Iregions_10	-0.149***	-0.693**	0.031
	(0.045)	(0.344)	(0.052)
_Iregions_11	0.102*	0.875***	0.032
	(0.052)	(0.331)	(0.069)
_Iregions_12	-0.370***	-3.131***	-0.032
	(0.080)	(0.670)	(0.106)
_Iregions_13	-0.053	-0.220	-0.058
	(0.042)	(0.291)	(0.048)
_Iregions_14	-0.142***	-0.959***	-0.092*
	(0.041)	(0.286)	(0.047)
_Iregions_15	-0.079	-0.772*	0.048
	(0.058)	(0.406)	(0.075)
_Iregions_16	-0.129***	-0.979***	-0.036
	(0.031)	(0.216)	(0.036)
_Iregions_17	-0.016	-0.163	0.005
	(0.048)	(0.317)	(0.056)
_Iregions_18	-0.210***	-1.315***	0.079
	(0.061)	(0.420)	(0.072)
_Iregions_19	-0.054	-0.160	0.027
	(0.042)	(0.274)	(0.048)
_Iregions_20	-0.134**	-0.982*	0.096
	(0.067)	(0.503)	(0.083)
			
Observations	2,877	2,877	2,877
R-squared	0.065	0.065	0.024
Robust standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
