	(1)	(2)	(3)	(4)	(5)
VARIABLES	fpm	broad	narrow	fraction_broad	fraction_narrow
					
fpm0hat	0.502***	0.001	0.009	0.556**	0.157
	(0.078)	(0.009)	(0.011)	(0.251)	(0.106)
dumm0_1	-0.017	-0.003	-0.003	0.115*	0.009
	(0.014)	(0.002)	(0.003)	(0.068)	(0.042)
dumm0_2	0.000	0.000	0.000	-0.000*	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
dumm0_3	-0.000	-0.000	-0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
fpm1hat	0.592***	0.000	0.010	0.225	0.188**
	(0.067)	(0.007)	(0.009)	(0.162)	(0.081)
dumm1_1	-0.008	-0.002	-0.001	0.077	0.005
	(0.010)	(0.002)	(0.002)	(0.047)	(0.029)
dumm1_2	0.000	0.000	0.000	-0.000	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
dumm1_3	-0.000	-0.000	-0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
fpm2hat	0.637***	0.015**	0.017**	0.244	0.131*
	(0.060)	(0.006)	(0.008)	(0.150)	(0.078)
dumm2_1	-0.007	-0.001	-0.002	0.059	-0.002
	(0.007)	(0.001)	(0.001)	(0.036)	(0.022)
dumm2_2	0.000	0.000	0.000	-0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
dumm2_3	-0.000	-0.000	-0.000*	0.000	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
fpm3hat	0.559***	0.001	0.002	-0.099	-0.053
	(0.059)	(0.006)	(0.009)	(0.351)	(0.139)
dumm3_1	-0.007	-0.001	-0.001	0.038	0.004
	(0.006)	(0.001)	(0.001)	(0.028)	(0.017)
dumm3_2	0.000	0.000	0.000	-0.000	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
dumm3_3	-0.000	-0.000	-0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
fpm4hat	0.651***	0.008	0.011	0.237*	0.162**
	(0.062)	(0.007)	(0.007)	(0.141)	(0.070)
dumm4_1	-0.004	-0.001	-0.001	0.039*	0.002
	(0.005)	(0.001)	(0.001)	(0.023)	(0.014)
dumm4_2	0.000	0.000	0.000	-0.000	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
dumm4_3	-0.000	-0.000	-0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
fpm5hat	0.671***	0.011	0.021***	0.380	0.352
	(0.057)	(0.007)	(0.007)	(0.320)	(0.237)
dumm5_1	-0.005	-0.001	-0.001	0.027	-0.007
