	(1)	(2)	(3)	(4)
VARIABLES	broad	narrow	fraction_broad	fraction_narrow
				
fpm	0.076**	0.077**	1.391	1.198**
	(0.032)	(0.036)	(0.934)	(0.602)
fonz1	-0.002**	-0.002*	-0.031	-0.037**
	(0.001)	(0.001)	(0.028)	(0.018)
opp_yschool	0.068**	0.067*	0.678	1.078*
	(0.030)	(0.035)	(0.939)	(0.583)
pop	-0.000	-0.000	-0.001*	-0.001**
	(0.000)	(0.000)	(0.001)	(0.000)
pop_2	0.000	-0.000	0.000**	0.000*
	(0.000)	(0.000)	(0.000)	(0.000)
pop_3	-0.000	0.000	-0.000**	-0.000*
	(0.000)	(0.000)	(0.000)	(0.000)
urb	0.122	0.034	0.168	1.509
	(0.219)	(0.245)	(5.177)	(3.618)
literacy	3.047**	2.588*	63.164	32.046
	(1.402)	(1.559)	(38.472)	(25.307)
income	-0.004**	-0.004**	-0.070	-0.042
	(0.002)	(0.002)	(0.047)	(0.032)
inter_urb	-0.002	0.003	0.200	0.036
	(0.007)	(0.007)	(0.148)	(0.098)
inter_literacy	-0.113**	-0.102**	-2.534*	-1.466*
	(0.046)	(0.051)	(1.308)	(0.857)
inter_income	0.000***	0.000**	0.003	0.002
	(0.000)	(0.000)	(0.002)	(0.001)
_Iterm_2005	0.103***	0.101**	-0.026	-2.154***
	(0.037)	(0.046)	(0.968)	(0.583)
_Iregions_2	-0.018	-0.044	-0.338	-0.960
	(0.074)	(0.099)	(2.175)	(1.469)
_Iregions_3	-0.093	-0.052	-1.300	-0.004
	(0.082)	(0.110)	(2.424)	(1.509)
_Iregions_4	-0.119	-0.149	-3.149	-1.467
	(0.084)	(0.107)	(2.148)	(1.452)
_Iregions_5	-0.061	0.028	-1.967	-2.663
	(0.084)	(0.114)	(2.552)	(1.657)
_Iregions_6	-0.146*	-0.123	-4.132*	-1.843
	(0.087)	(0.104)	(2.135)	(1.484)
_Iregions_7	0.046	0.098	-3.326	-0.018
	(0.108)	(0.137)	(2.430)	(1.751)
_Iregions_8	-0.006	-0.244*	-2.417	-0.102
	(0.097)	(0.129)	(2.686)	(2.121)
_Iregions_9	-0.044	-0.097	-3.267	-1.828
	(0.078)	(0.109)	(2.061)	(1.383)
_Iregions_10	-0.017	0.055	0.202	0.859
	(0.066)	(0.093)	(2.365)	(1.769)
_Iregions_11	-0.186**	-0.216**	-6.117***	-3.191**
	(0.081)	(0.108)	(2.193)	(1.552)
_Iregions_12	-0.171*	-0.174	-3.818*	-1.403
	(0.089)	(0.110)	(2.216)	(1.585)
_Iregions_13	-0.068	-0.014	1.376	-1.349
	(0.092)	(0.127)	(3.024)	(1.595)
_Iregions_14	-0.308***	-0.226**	-4.733**	-1.503
	(0.100)	(0.114)	(2.336)	(1.640)
_Iregions_15	0.007	0.017	-2.168	1.626
	(0.123)	(0.153)	(3.038)	(2.130)
_Iregions_16	-0.174*	-0.165	-0.048	0.825
	(0.094)	(0.111)	(2.686)	(2.098)
_Iregions_17	-0.085	-0.168*	-2.793	-0.970
	(0.070)	(0.101)	(2.162)	(1.595)
_Iregions_18	-0.223**	-0.207*	-1.869	1.020
	(0.109)	(0.116)	(2.611)	(2.049)
_Iregions_19	0.033	-0.017	1.762	0.195
	(0.104)	(0.125)	(3.247)	(1.795)
_Iregions_20	-0.132	-0.079	-3.089	-2.817*
	(0.081)	(0.108)	(2.283)	(1.538)
				
Observations	1,202	1,202	1,140	1,140
R-squared	0.018	0.093	0.011	-0.029
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
