	(1)	(2)	(3)	(4)
VARIABLES	fpm	opp_college	opp_yschool	reele_inc
				
fpm0hat	0.540***	-0.005	-0.063	0.018**
	(0.044)	(0.006)	(0.048)	(0.007)
dumm0_1	-0.015**	-0.001	-0.012	-0.000
	(0.007)	(0.001)	(0.011)	(0.002)
dumm0_2	0.000**	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
dumm0_3	-0.000**	-0.000	-0.000	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)
fpm1hat	0.552***	-0.016***	-0.141***	0.010
	(0.039)	(0.006)	(0.038)	(0.006)
dumm1_1	-0.012**	-0.001	-0.006	-0.000
	(0.005)	(0.001)	(0.008)	(0.001)
dumm1_2	0.000**	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
dumm1_3	-0.000*	-0.000	-0.000	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)
fpm2hat	0.657***	-0.011**	-0.091***	0.006
	(0.031)	(0.005)	(0.032)	(0.006)
dumm2_1	-0.010***	-0.000	-0.007	-0.000
	(0.004)	(0.001)	(0.006)	(0.001)
dumm2_2	0.000***	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
dumm2_3	-0.000***	-0.000	-0.000	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)
fpm3hat	0.681***	-0.006	-0.032	0.009
	(0.038)	(0.005)	(0.031)	(0.006)
dumm3_1	-0.007**	-0.000	-0.004	0.000
	(0.003)	(0.001)	(0.004)	(0.001)
dumm3_2	0.000**	-0.000	0.000	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)
dumm3_3	-0.000*	0.000	-0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
fpm4hat	0.693***	-0.005	-0.050*	0.009
	(0.040)	(0.004)	(0.028)	(0.006)
dumm4_1	-0.007**	-0.000	-0.004	-0.000
	(0.003)	(0.000)	(0.003)	(0.001)
dumm4_2	0.000**	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
dumm4_3	-0.000**	-0.000	-0.000	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)
fpm5hat	0.834***	-0.005	-0.050*	0.009
	(0.058)	(0.005)	(0.028)	(0.006)
dumm5_1	-0.006**	0.000	-0.001	-0.001
	(0.003)	(0.000)	(0.003)	(0.001)
dumm5_2	0.000*	-0.000	0.000	0.000*
	(0.000)	(0.000)	(0.000)	(0.000)
dumm5_3	-0.000	0.000	0.000	-0.000*
	(0.000)	(0.000)	(0.000)	(0.000)
fpm6hat	0.778***	0.001	-0.010	0.000
	(0.053)	(0.005)	(0.034)	(0.007)
dumm6_1	0.002	0.000	-0.001	0.000
	(0.004)	(0.000)	(0.002)	(0.000)
dumm6_2	-0.000	-0.000	-0.000	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)
dumm6_3	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
_Iterm_2005	0.115	0.042	0.468**	0.035
	(0.205)	(0.027)	(0.196)	(0.033)
_Iregions_2	0.757***	-0.152***	-0.764***	-0.074*
	(0.250)	(0.033)	(0.223)	(0.040)
_Iregions_3	0.453*	-0.067	-0.060	-0.074
	(0.243)	(0.042)	(0.251)	(0.049)
_Iregions_4	-0.995***	-0.299***	-2.405***	0.049
	(0.298)	(0.046)	(0.356)	(0.057)
_Iregions_5	0.841**	-0.222***	-1.530***	-0.008
	(0.334)	(0.055)	(0.401)	(0.070)
_Iregions_6	-0.406*	0.044	0.441	-0.000
	(0.234)	(0.046)	(0.299)	(0.055)
_Iregions_7	0.486	-0.051	-0.186	-0.034
	(0.523)	(0.049)	(0.323)	(0.054)
_Iregions_8	-0.281	-0.269***	-1.580***	-0.007
	(0.400)	(0.048)	(0.366)	(0.063)
_Iregions_9	1.523***	0.003	-0.141	0.089*
	(0.238)	(0.045)	(0.301)	(0.049)
_Iregions_10	0.646	-0.156***	-0.750**	0.040
	(0.504)	(0.044)	(0.326)	(0.051)
_Iregions_11	0.850***	0.092*	0.775**	0.052
	(0.249)	(0.051)	(0.322)	(0.067)
_Iregions_12	-2.873***	-0.338***	-2.805***	-0.093
	(0.326)	(0.068)	(0.594)	(0.093)
_Iregions_13	0.223	-0.053	-0.229	-0.050
	(0.276)	(0.042)	(0.284)	(0.048)
_Iregions_14	-0.985***	-0.129***	-0.845***	-0.106**
	(0.275)	(0.040)	(0.276)	(0.046)
_Iregions_15	-0.832**	-0.070	-0.689*	0.037
	(0.332)	(0.057)	(0.394)	(0.074)
_Iregions_16	0.826***	-0.139***	-1.071***	-0.022
	(0.171)	(0.031)	(0.212)	(0.035)
_Iregions_17	-0.690***	-0.009	-0.095	-0.007
	(0.242)	(0.046)	(0.300)	(0.053)
_Iregions_18	-1.674***	-0.192***	-1.144***	0.049
	(0.292)	(0.059)	(0.395)	(0.068)
_Iregions_19	-0.199	-0.055	-0.165	0.027
	(0.208)	(0.043)	(0.274)	(0.048)
_Iregions_20	-1.443***	-0.116*	-0.786*	0.063
	(0.324)	(0.062)	(0.469)	(0.078)
				
Observations	2,877	2,877	2,877	2,877
R-squared	0.954	0.073	0.084	0.031
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
