	(1)	(2)	(3)	(4)
VARIABLES	broad	narrow	fraction_broad	fraction_narrow
				
fpm	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
fonz1	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
opp_yschool	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
pop	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
pop_2	0.000***	0.000***	0.000***	0.000***
	(0.000)	(0.000)	(0.000)	(0.000)
pop_3	-0.000***	-0.000***	-0.000***	-0.000***
	(0.000)	(0.000)	(0.000)	(0.000)
urb	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
literacy	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
income	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
inter_urb	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
inter_literacy	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
inter_income	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
_Iterm_2005	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
_Iregions_2	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
_Iregions_3	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
_Iregions_4	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
_Iregions_5	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
_Iregions_6	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
_Iregions_7	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
_Iregions_8	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
_Iregions_9	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
_Iregions_10	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
_Iregions_11	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
_Iregions_12	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
_Iregions_13	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
_Iregions_14	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
_Iregions_15	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
_Iregions_16	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
_Iregions_17	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
_Iregions_18	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
_Iregions_19	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
_Iregions_20	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
				
Observations	374	374	362	362
R-squared	-0.095	-0.035	0.000	0.001
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
