	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	broad	narrow	fraction_broad	fraction_narrow	fraction_broad	fraction_narrow	fraction_broad	fraction_narrow
								
fpm	0.014**	0.022***	0.220	0.265**	0.220	0.265**	0.220	0.265**
	(0.007)	(0.008)	(0.207)	(0.118)	(0.207)	(0.118)	(0.207)	(0.118)
pop	-0.000*	-0.000	-0.002**	-0.001**	-0.002**	-0.001**	-0.002**	-0.001**
	(0.000)	(0.000)	(0.001)	(0.000)	(0.001)	(0.000)	(0.001)	(0.000)
pop_2	0.000	-0.000	0.000**	0.000**	0.000**	0.000**	0.000**	0.000**
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
pop_3	-0.000	0.000	-0.000***	-0.000**	-0.000***	-0.000**	-0.000***	-0.000**
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
_Iterm_2005	0.103***	0.100**	-0.034	-2.082***	-0.034	-2.082***	-0.034	-2.082***
	(0.037)	(0.046)	(0.977)	(0.562)	(0.977)	(0.562)	(0.977)	(0.562)
_Iregions_2	0.009	-0.011	-0.026	-0.607	-0.026	-0.607	-0.026	-0.607
	(0.069)	(0.099)	(2.119)	(1.398)	(2.119)	(1.398)	(2.119)	(1.398)
_Iregions_3	-0.080	-0.051	-1.667	-0.078	-1.667	-0.078	-1.667	-0.078
	(0.078)	(0.108)	(2.283)	(1.426)	(2.283)	(1.426)	(2.283)	(1.426)
_Iregions_4	-0.117	-0.205**	-4.009*	-1.805	-4.009*	-1.805	-4.009*	-1.805
	(0.071)	(0.099)	(2.061)	(1.494)	(2.061)	(1.494)	(2.061)	(1.494)
_Iregions_5	0.016	0.105	-0.330	-1.241	-0.330	-1.241	-0.330	-1.241
	(0.065)	(0.103)	(2.191)	(1.330)	(2.191)	(1.330)	(2.191)	(1.330)
_Iregions_6	-0.074	-0.079	-3.310	-0.912	-3.310	-0.912	-3.310	-0.912
	(0.083)	(0.108)	(2.083)	(1.379)	(2.083)	(1.379)	(2.083)	(1.379)
_Iregions_7	0.077	0.062	-3.476	0.046	-3.476	0.046	-3.476	0.046
	(0.103)	(0.132)	(2.255)	(1.603)	(2.255)	(1.603)	(2.255)	(1.603)
_Iregions_8	-0.027	-0.263**	-3.116	-0.384	-3.116	-0.384	-3.116	-0.384
	(0.090)	(0.115)	(2.322)	(1.880)	(2.322)	(1.880)	(2.322)	(1.880)
_Iregions_9	-0.022	-0.071	-3.021	-1.482	-3.021	-1.482	-3.021	-1.482
	(0.077)	(0.110)	(1.979)	(1.366)	(1.979)	(1.366)	(1.979)	(1.366)
_Iregions_10	-0.012	0.050	-0.101	0.759	-0.101	0.759	-0.101	0.759
	(0.057)	(0.090)	(2.164)	(1.612)	(2.164)	(1.612)	(2.164)	(1.612)
_Iregions_11	-0.155**	-0.182*	-5.345***	-2.660*	-5.345***	-2.660*	-5.345***	-2.660*
	(0.069)	(0.100)	(1.873)	(1.370)	(1.873)	(1.370)	(1.873)	(1.370)
_Iregions_12	-0.147**	-0.234**	-4.754***	-1.831	-4.754***	-1.831	-4.754***	-1.831
	(0.066)	(0.093)	(1.832)	(1.336)	(1.832)	(1.336)	(1.832)	(1.336)
_Iregions_13	-0.064	-0.079	0.170	-2.005	0.170	-2.005	0.170	-2.005
	(0.077)	(0.114)	(2.931)	(1.341)	(2.931)	(1.341)	(2.931)	(1.341)
_Iregions_14	-0.285***	-0.291***	-6.141***	-2.308*	-6.141***	-2.308*	-6.141***	-2.308*
	(0.080)	(0.097)	(1.825)	(1.281)	(1.825)	(1.281)	(1.825)	(1.281)
_Iregions_15	-0.033	-0.058	-3.086	0.537	-3.086	0.537	-3.086	0.537
	(0.110)	(0.145)	(2.556)	(1.755)	(2.556)	(1.755)	(2.556)	(1.755)
_Iregions_16	-0.180**	-0.245**	-2.027	-0.355	-2.027	-0.355	-2.027	-0.355
	(0.079)	(0.099)	(2.367)	(1.880)	(2.367)	(1.880)	(2.367)	(1.880)
_Iregions_17	-0.089	-0.219**	-3.471*	-1.487	-3.471*	-1.487	-3.471*	-1.487
	(0.060)	(0.093)	(1.879)	(1.364)	(1.879)	(1.364)	(1.879)	(1.364)
_Iregions_18	-0.209**	-0.274**	-2.901	0.397	-2.901	0.397	-2.901	0.397
	(0.096)	(0.106)	(2.315)	(1.857)	(2.315)	(1.857)	(2.315)	(1.857)
_Iregions_19	0.009	-0.127	-0.118	-1.086	-0.118	-1.086	-0.118	-1.086
	(0.079)	(0.111)	(2.912)	(1.366)	(2.912)	(1.366)	(2.912)	(1.366)
_Iregions_20	-0.099	-0.051	-2.495	-2.295*	-2.495	-2.295*	-2.495	-2.295*
	(0.071)	(0.102)	(2.051)	(1.379)	(2.051)	(1.379)	(2.051)	(1.379)
								
Observations	1,202	1,202	1,140	1,140	1,140	1,140	1,140	1,140
R-squared	0.072	0.119	0.036	0.023	0.036	0.023	0.036	0.023
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
