	(1)	(2)	(3)	(4)
VARIABLES	rerun	rerun	rerun	rerun
				
superinteraction	0.007	0.163	0.008*	0.026*
	(0.122)	(0.110)	(0.004)	(0.015)
interaction	-2.337***	-1.556***	-0.052*	-0.088
	(0.735)	(0.594)	(0.030)	(0.090)
interaction2	0.119	-0.001	0.081	0.076
	(0.111)	(0.081)	(0.066)	(0.064)
broad	1.110**			
	(0.524)			
before	2.472***	1.276***	0.874**	0.890***
	(0.652)	(0.414)	(0.350)	(0.328)
fpm_hat	-0.010	0.022	-0.012	-0.002
	(0.070)	(0.071)	(0.072)	(0.072)
pop	0.000**	0.000**	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
pop_2	-0.000**	-0.000**	-0.000	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)
pop_3	0.000*	0.000*	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
pop_bcbroad	0.000***			
	(0.000)			
pop_2_bcbroad	-0.000***			
	(0.000)			
pop_3_bcbroad	0.000***			
	(0.000)			
pop_cbroad	-0.000**			
	(0.000)			
pop_2_cbroad	0.000*			
	(0.000)			
pop_3_cbroad	-0.000*			
	(0.000)			
pop_b	-0.000***	-0.000***	-0.000***	-0.000***
	(0.000)	(0.000)	(0.000)	(0.000)
pop_2_b	0.000***	0.000***	0.000**	0.000***
	(0.000)	(0.000)	(0.000)	(0.000)
pop_3_b	-0.000***	-0.000***	-0.000**	-0.000**
	(0.000)	(0.000)	(0.000)	(0.000)
_Iregions_2	-0.074	-0.049	-0.053	-0.075
	(0.106)	(0.107)	(0.110)	(0.112)
_Iregions_3	-0.021	0.012	0.009	0.006
	(0.120)	(0.119)	(0.117)	(0.115)
_Iregions_4	-0.000	0.034	0.015	0.010
	(0.100)	(0.101)	(0.107)	(0.108)
_Iregions_5	-0.008	0.011	0.024	0.013
	(0.106)	(0.108)	(0.110)	(0.111)
_Iregions_6	-0.008	0.034	0.040	0.021
	(0.108)	(0.108)	(0.109)	(0.111)
_Iregions_7	0.052	0.103	0.042	0.042
	(0.123)	(0.124)	(0.125)	(0.128)
_Iregions_8	-0.197	-0.131	-0.159	-0.178
	(0.180)	(0.174)	(0.171)	(0.164)
_Iregions_9	-0.080	-0.054	-0.043	-0.066
	(0.137)	(0.136)	(0.137)	(0.138)
_Iregions_10	-0.168*	-0.156	-0.103	-0.123
	(0.096)	(0.097)	(0.096)	(0.098)
_Iregions_11	-0.058	-0.047	-0.033	-0.040
	(0.103)	(0.103)	(0.108)	(0.109)
_Iregions_12	0.060	0.096	0.101	0.087
	(0.092)	(0.093)	(0.092)	(0.094)
_Iregions_13	-0.161	-0.143	-0.134	-0.142
	(0.145)	(0.147)	(0.148)	(0.152)
_Iregions_14	-0.031	0.016	-0.010	-0.018
	(0.104)	(0.106)	(0.105)	(0.105)
_Iregions_15	-0.111	-0.062	-0.058	-0.065
	(0.152)	(0.151)	(0.148)	(0.149)
_Iregions_16	-0.091	-0.054	-0.090	-0.104
	(0.110)	(0.112)	(0.112)	(0.115)
_Iregions_17	-0.142	-0.101	-0.080	-0.091
	(0.095)	(0.098)	(0.093)	(0.096)
_Iregions_18	0.072	0.129	0.104	0.093
	(0.124)	(0.123)	(0.123)	(0.127)
_Iregions_19	-0.062	-0.025	-0.058	-0.072
	(0.130)	(0.130)	(0.138)	(0.140)
_Iregions_20	-0.128	-0.116	-0.130	-0.128
	(0.118)	(0.118)	(0.120)	(0.122)
_Iterm_2005	0.124**	0.104*	0.122**	0.122**
	(0.056)	(0.055)	(0.057)	(0.057)
narrow		1.085***		
		(0.360)		
pop_bcnarrow		0.000**		
		(0.000)		
pop_2_bcnarrow		-0.000**		
		(0.000)		
pop_3_bcnarrow		0.000**		
		(0.000)		
pop_cnarrow		-0.000***		
		(0.000)		
pop_2_cnarrow		0.000***		
		(0.000)		
pop_3_cnarrow		-0.000***		
		(0.000)		
fraction_broad			0.033*	
			(0.020)	
pop_bcfraction_broad			0.000	
			(0.000)	
pop_2_bcfraction_broad			-0.000	
			(0.000)	
pop_3_bcfraction_broad			0.000	
			(0.000)	
pop_cfraction_broad			-0.000	
			(0.000)	
pop_2_cfraction_broad			0.000	
			(0.000)	
pop_3_cfraction_broad			-0.000	
			(0.000)	
fraction_narrow				0.062**
				(0.028)
pop_bcfraction_narrow				0.000
				(0.000)
pop_2_bcfraction_narrow				-0.000
				(0.000)
pop_3_bcfraction_narrow				0.000
				(0.000)
pop_cfraction_narrow				-0.000*
				(0.000)
pop_2_cfraction_narrow				0.000*
				(0.000)
pop_3_cfraction_narrow				-0.000*
				(0.000)
				
Observations	816	816	766	766
R-squared	0.075	0.082	0.071	0.072
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
