	(1)	(2)	(3)	(4)	(5)
VARIABLES	fpm	broad	narrow	fraction_broad	fraction_narrow
					
fpm_hat	0.629***	0.009**	0.014***	0.143	0.172**
	(0.037)	(0.004)	(0.005)	(0.136)	(0.077)
pop	0.001***	-0.000	-0.000	-0.001**	-0.001**
	(0.000)	(0.000)	(0.000)	(0.001)	(0.000)
pop_2	-0.000***	0.000	-0.000	0.000**	0.000*
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
pop_3	0.000*	-0.000	0.000	-0.000***	-0.000**
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
_Iterm_2005	0.294	0.107***	0.106**	0.010	-2.030***
	(0.258)	(0.035)	(0.044)	(0.953)	(0.546)
_Iregions_2	-1.476***	-0.012	-0.044	-0.325	-0.967
	(0.470)	(0.069)	(0.097)	(2.054)	(1.369)
_Iregions_3	-1.752***	-0.105	-0.089	-2.034	-0.520
	(0.662)	(0.074)	(0.102)	(2.254)	(1.367)
_Iregions_4	0.137	-0.115	-0.202**	-3.960*	-1.746
	(0.469)	(0.071)	(0.100)	(2.079)	(1.501)
_Iregions_5	-0.708	0.006	0.090	-0.419	-1.348
	(0.940)	(0.064)	(0.101)	(2.213)	(1.339)
_Iregions_6	-2.114***	-0.104	-0.126	-3.749*	-1.441
	(0.561)	(0.078)	(0.101)	(1.915)	(1.296)
_Iregions_7	-2.158***	0.046	0.014	-3.937*	-0.508
	(0.613)	(0.098)	(0.125)	(2.062)	(1.503)
_Iregions_8	-1.424**	-0.047	-0.294***	-3.407	-0.734
	(0.561)	(0.088)	(0.113)	(2.220)	(1.856)
_Iregions_9	-0.981**	-0.036	-0.092	-3.240	-1.745
	(0.430)	(0.078)	(0.110)	(1.991)	(1.373)
_Iregions_10	0.587	-0.004	0.062	-0.009	0.869
	(0.388)	(0.057)	(0.089)	(2.167)	(1.608)
_Iregions_11	1.244***	-0.138**	-0.155	-5.075***	-2.336*
	(0.432)	(0.068)	(0.098)	(1.821)	(1.332)
_Iregions_12	-0.324	-0.151**	-0.242***	-4.808***	-1.896
	(0.443)	(0.066)	(0.092)	(1.833)	(1.333)
_Iregions_13	-0.319	-0.069	-0.086	0.114	-2.073
	(0.601)	(0.079)	(0.116)	(2.941)	(1.328)
_Iregions_14	-0.560	-0.293***	-0.303***	-6.243***	-2.430*
	(0.462)	(0.080)	(0.095)	(1.800)	(1.265)
_Iregions_15	-2.808***	-0.072	-0.119	-3.677	-0.174
	(0.546)	(0.103)	(0.136)	(2.259)	(1.609)
_Iregions_16	0.978	-0.166**	-0.224**	-1.766	-0.042
	(0.655)	(0.079)	(0.100)	(2.357)	(1.878)
_Iregions_17	0.073	-0.088	-0.218**	-3.460*	-1.474
	(0.392)	(0.061)	(0.092)	(1.889)	(1.362)
_Iregions_18	-1.144*	-0.225**	-0.299***	-3.197	0.042
	(0.620)	(0.095)	(0.104)	(2.269)	(1.886)
_Iregions_19	-1.172**	-0.007	-0.153	-0.340	-1.353
	(0.555)	(0.077)	(0.108)	(2.877)	(1.331)
_Iregions_20	0.245	-0.096	-0.045	-2.476	-2.274*
	(0.789)	(0.070)	(0.101)	(2.045)	(1.362)
					
Observations	1,202	1,202	1,202	1,140	1,140
R-squared	0.945	0.089	0.128	0.046	0.040
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
