"","est1","","","","est2","","",""
"","b","se","t","p","b","se","t","p"
"55.statefip","5.132996","1.306817","3.927861",".0000857","-2.081279",".5571488","-3.735589",".0001873"
"56.statefip","4.295744","1.109757","3.870886",".0001084","-3.978365",".7795361","-5.103503","3.33e-07"
"l_sh_popedu_c",".0177228",".0797732",".2221653",".8241852","-.1150742",".0376867","-3.053448",".0022623"
"l_sh_empl_f",".0918126",".1222954",".7507444",".4528065",".1795655",".0545705","3.290525",".001"
"_cons","-48.84112","12.27881","-3.977676",".0000696","-4.474186","4.163551","-1.074608",".2825502"
"N","1432","","","","1432","","",""
"r2",".2921516","","","",".3273981","","",""
"df_m","62","","","","62","","",""
"df_r","","","","","","","",""
"df_b","","","","","","","",""
"df","","","","","","","",""
