"","est1","","","","est2","","","","est3","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p"
"29.statefip","4.981633",".7175645","6.942418","3.85e-12",".9743591",".3745982","2.601078",".0092931","-.682306",".8187709","-.8333295",".4046589"
"30.statefip","31.02044","1.244014","24.93577","0","6.984585",".5878013","11.88256","0","-22.68167","1.295891","-17.50276","0"
"31.statefip","2.208055","1.242164","1.777587",".0754717","1.220562",".6807787","1.792891",".0729904","3.432465","1.519093","2.259548",".0238493"
"32.statefip","1.925078","1.116997","1.72344",".084809","-.5496989",".6661466","-.8251921",".4092625","-.8003111","1.659021","-.4823997",".629522"
"33.statefip","7.360654","1.473934","4.993884","5.92e-07","-.2585819",".5931227","-.435967",".6628607","-1.316655","1.131968","-1.163156",".2447663"
"34.statefip","8.212843","1.159813","7.081177","1.43e-12",".8352477",".5185939","1.610601",".1072668","-2.805294","1.185436","-2.366466",".0179588"
"35.statefip","4.682603","1.181986","3.961642",".0000744","-.5817181",".7116079","-.81747",".4136599","3.174117","1.860624","1.705943",".0880188"
"36.statefip","6.833199",".895836","7.627734","2.40e-14",".1204902",".346433",".3478023",".7279886","-.6278448","1.283434","-.4891911",".6247064"
"37.statefip","4.509138",".9867308","4.569775","4.88e-06","-1.207508",".4732722","-2.551403",".010729","2.992923","1.200105","2.493884",".0126354"
"38.statefip","19.24507","1.043888","18.43596","0","6.616868",".5923451","11.17063","0",".388103","1.209423",".3208994",".7482866"
"39.statefip","7.239991","1.443259","5.016419","5.26e-07",".1941843",".4361634",".4452099",".6561681","-1.994825",".9942894","-2.006282",".0448261"
"40.statefip","3.069335",".7251046","4.232955",".0000231","-.4243095",".4552766","-.9319819",".3513459","1.166706","1.309907",".8906787",".3731015"
"41.statefip","3.959368",".7492872","5.284179","1.26e-07","-.0187024",".4092131","-.0457034",".9635467","2.420573","1.146175","2.11187",".0346976"
"42.statefip","6.146589","1.327246","4.631085","3.64e-06",".1566124",".4141639",".3781411",".7053258",".1389598",".8812035",".1576932",".8746986"
"44.statefip","8.278748","2.408983","3.436615",".000589","-1.117156",".9808919","-1.138918",".2547373","-8.024528","1.202801","-6.671533","2.53e-11"
"45.statefip","-.4457599",".5128626","-.8691605",".3847594",".3746734",".2798856","1.338666",".1806794","1.030165",".849161","1.213156",".2250701"
"46.statefip",".4284221","1.799223",".2381151",".8117918","-5.044578","1.159395","-4.351043",".0000135","-14.29198","1.56088","-9.156365","0"
"47.statefip","4.401967",".5491348","8.016187","1.11e-15","1.770345",".3249162","5.44862","5.08e-08",".2053578",".7339266",".2798069",".7796256"
"48.statefip","3.769197","1.207835","3.120622",".0018047","-.6925741",".6737694","-1.02791",".3039923","1.673879","1.876256",".8921379",".372319"
"49.statefip","2.73167",".828852","3.295727",".0009817","1.423193",".433772","3.28097",".0010345","3.109962","1.738726","1.788644",".0736721"
"50.statefip","3.93304","1.884912","2.086591",".0369251","1.456711",".8798771","1.655585",".097806","7.697656","1.265347","6.083437","1.18e-09"
"51.statefip","6.005669",".616358","9.743799","0","1.104294",".2972443","3.715104",".0002031","4.643631",".648972","7.155364","8.34e-13"
"53.statefip","5.472959",".6703598","8.164211","2.22e-16",".6234694",".3860046","1.615186",".1062703","5.393383","1.090741","4.944697","7.63e-07"
"54.statefip","13.52478","1.481203","9.130942","0","-2.257759",".4857622","-4.64787","3.35e-06","10.23571",".9277864","11.0324","0"
"55.statefip","5.132996","1.306817","3.927861",".0000857","-2.081279",".5571488","-3.735589",".0001873","-3.172612","1.028313","-3.085258",".0020338"
"56.statefip","4.295744","1.109757","3.870886",".0001084","-3.978365",".7795361","-5.103503","3.33e-07","-11.81383","1.977757","-5.973346","2.32e-09"
"l_sh_popedu_c",".0177228",".0797732",".2221653",".8241852","-.1150742",".0376867","-3.053448",".0022623","-.2038291",".1052078","-1.937395",".0526971"
"l_sh_empl_f",".0918126",".1222954",".7507444",".4528065",".1795655",".0545705","3.290525",".001",".2574562",".1469055","1.752529",".079683"
"_cons","-48.84112","12.27881","-3.977676",".0000696","-4.474186","4.163551","-1.074608",".2825502","-39.75524","10.36356","-3.836062",".000125"
"N","1432","","","","1432","","","","1260","","",""
"r2",".2921516","","","",".3273981","","","",".1484713","","",""
"df_m","62","","","","62","","","","61","","",""
"df_r","","","","","","","","","","","",""
"df_b","","","","","","","","","","","",""
"df","","","","","","","","","","","",""
