"","est1","","","","est2","","",""
"","b","se","t","p","b","se","t","p"
"torder","","","","","","","",""
"lpop00",".8532178",".0415369","20.54119","0",".9014008",".039583","22.77244","0"
"homeintf","1.893725",".7227072","2.620321",".0087847","3.723914","1.320694","2.819665",".0048074"
"salestax","5.944501","2.164594","2.746243",".0060282","6.14446","2.019778","3.042146",".002349"
"cpergas","1.902259","1.707617","1.113985",".2652856","2.61383","1.845119","1.416619",".1565944"
"calif","-1.030726",".2572624","-4.006516",".0000616","-.9893303",".2130582","-4.643473","3.43e-06"
"shiptime","-.0988085",".0484708","-2.038517",".0414982","-.0825125",".058979","-1.399016",".1618081"
"hhi99","","","","","-.0388665",".0096081","-4.045178",".0000523"
"ba","","","","","1.532525","1.952278",".7849934",".4324575"
"grad","","","","","1.487454","2.140974",".694756",".4872082"
"comp","","","","",".1209739","1.440775",".0839645",".9330847"
"_cons","-9.062813",".6403592","-14.1527","0","-9.796504",".6744299","-14.52561","0"
"lnalpha","","","","","","","",""
"_cons","-3.169056",".2496127","-12.69589","0","-3.592876",".2755221","-13.04024","0"
"N","51","","","","51","","",""
"r2","","","","","","","",""
"df_m","6","","","","10","","",""
"df_r","","","","","","","",""
"df_b","","","","","","","",""
"df","","","","","","","",""
