"","est1","","","","est2","","",""
"","b","se","t","p","b","se","t","p"
"torder","","","","","","","",""
"lpop00",".8933457",".0470772","18.97618","0",".9257243",".0481056","19.24357","0"
"homeintf","1.04323",".8363737","1.247325",".2122783",".3639735","1.609091",".2261982",".8210472"
"salestax","6.327642","2.443962","2.589091",".009623","7.212517","2.464002","2.927155",".0034208"
"cpergas","4.394572","1.916146","2.293443",".0218225","5.478235","2.271837","2.411368",".0158928"
"calif","-.8376692",".2613306","-3.205401",".0013487","-.8123868",".2367586","-3.431287",".0006007"
"shiptime","-.0728665",".0551232","-1.321885",".1862063",".0021526",".0743964",".0289342",".9769171"
"hhi99","","","","","-.0233162",".0115724","-2.01481",".0439246"
"ba","","","","","1.495286","2.362094",".633034",".5267114"
"grad","","","","","-1.541325","2.76151","-.5581457",".5767449"
"comp","","","","","2.145379","1.781122","1.20451",".2283926"
"_cons","-10.46749",".7270453","-14.39731","0","-11.36399",".8244853","-13.78314","0"
"lnalpha","","","","","","","",""
"_cons","-3.238343",".294193","-11.00755","0","-3.484843",".3199434","-10.89206","0"
"N","51","","","","51","","",""
"r2","","","","","","","",""
"df_m","6","","","","10","","",""
"df_r","","","","","","","",""
"df_b","","","","","","","",""
"df","","","","","","","",""
