	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	pctinstruction_all_ex1	pctspedinstruction_ex1	pctinstrelservs_all_ex1	pctpupservs_all_ex1	pcttransportservs_ex1	pctplantservs_ex1	pctgenadmin_all_ex1	pctotherfunctions_ex1
								
rural_distant	4.095	0.310	0.918	0.506	-0.218	-5.462	-0.148	0.0908
	(2.900)	(0.926)	(0.714)	(0.879)	(0.565)	(4.390)	(0.602)	(0.985)
rural_fringe	7.077**	1.450+	0.0980	1.203	-0.827	-7.772+	-1.380*	0.774
	(2.741)	(0.775)	(0.634)	(0.874)	(0.538)	(4.068)	(0.636)	(0.878)
town_locale	4.175	1.567*	0.377	0.499	-1.843***	-4.264	-2.119***	1.335
	(2.744)	(0.658)	(0.616)	(0.804)	(0.519)	(4.086)	(0.555)	(0.816)
suburb_locale	5.698*	4.802***	0.718	-1.076	-2.839***	-5.804	-3.124***	3.601***
	(2.669)	(0.581)	(0.606)	(0.777)	(0.504)	(3.990)	(0.538)	(0.839)
urban_locale	3.311	4.875***	1.171+	-0.902	-2.707***	-5.002	-3.938***	5.360***
	(2.744)	(0.730)	(0.677)	(0.792)	(0.506)	(4.004)	(0.546)	(0.999)
Constant	44.52***	5.596***	8.985***	10.77***	4.543***	22.81***	8.000***	4.910***
	(2.625)	(0.550)	(0.582)	(0.762)	(0.502)	(3.966)	(0.530)	(0.732)
								
Observations	890	890	890	890	890	890	890	890
R-squared	0.037	0.124	0.017	0.049	0.230	0.011	0.254	0.062
Robust standard errors in parentheses								
*** p<0.001, ** p<0.01, * p<0.05, + p<0.10								
