	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	pctst_1	pctnonstudent_1	pctcapfacil_1	pctdebt_1	pctnonagcs_1	pctprekadult_1	pctretiree_1
							
rural_distant	4.764	-4.764	-6.125	0.864	-0.0849	0.541	0.0898
	(4.749)	(4.749)	(4.791)	(0.864)	(0.293)	(0.577)	(0.240)
rural_fringe	5.245	-5.245	-6.678	1.715+	-0.115	0.0873	-0.239
	(4.619)	(4.619)	(4.649)	(0.879)	(0.330)	(0.351)	(0.199)
town_locale	0.756	-0.756	-2.874	1.920*	-0.0636	0.367	-0.0693
	(4.653)	(4.653)	(4.699)	(0.749)	(0.283)	(0.328)	(0.198)
suburb_locale	-1.219	1.219	-3.763	3.938***	-0.181	1.365***	-0.0577
	(4.524)	(4.524)	(4.593)	(0.744)	(0.273)	(0.333)	(0.199)
urban_locale	-4.266	4.266	-2.786	5.795***	-0.406	1.569**	0.154
	(4.622)	(4.622)	(4.617)	(0.942)	(0.268)	(0.506)	(0.255)
Constant	81.62***	18.38***	12.86**	3.012***	0.996***	0.819**	0.695***
	(4.484)	(4.484)	(4.569)	(0.662)	(0.252)	(0.292)	(0.187)
							
Observations	890	890	890	890	890	890	890
R-squared	0.055	0.055	0.012	0.065	0.012	0.034	0.018
Robust standard errors in parentheses							
*** p<0.001, ** p<0.01, * p<0.05, + p<0.10							
